浙江卫视4K,#http://101.35.240.114:88/live.php?id=浙江卫视4K
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K
深圳卫视4K,#http://101.35.240.114:88/live.php?id=深圳卫视
山东卫视4K,http://101.35.240.114:88/live.php?id=山东卫视4K
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
海峡卫视,http://www.wmviv.com/iptv/bc2t.php?id=hxws
四海钓鱼,http://www.wmviv.com/iptv/bc2t.php?id=shdy
上海第一财经,http://www.wmviv.com/iptv/bc2t.php?id=dycj
上视纪实人文,http://www.wmviv.com/iptv/bc2t.php?id=shjsrw
上海外语,http://www.wmviv.com/iptv/bc2t.php?id=shics
七彩戏剧,http://www.wmviv.com/iptv/bc2t.php?id=qcxj
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
珠江卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.24:11111
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
CETV-01,https://zby.130519.xyz/PLTV/11/224/3221225775/index.m3u8
CETV-04,https://zby.130519.xyz/PLTV/11/224/3221226153/index.m3u8
黑龙江视,https://zby.130519.xyz/PLTV/11/224/3221225722/index.m3u8
新闻综合,https://zby.130519.xyz/PLTV/11/224/3221226136/index.m3u8
睛彩广场,https://zby.130519.xyz/PLTV/11/224/3221226139/index.m3u8
CHC影迷电影HD,http://122.228.73.138:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsCHC-HDH265_4000.m3u8
CHC家庭影院HD,http://122.228.73.138:2380/hw1live.rxip.sc96655.com.huan.tv/live/jbtygqCHCjtyyH265_4000.m3u8
CHC动作电影HD,http://122.228.73.138:2380/hw1live.rxip.sc96655.com.huan.tv/live/wqCHCdzdyH265_4000.m3u8
求索科学,http://111.22.153.159:35455/itv/2000000004000000011.m3u8?cdn=hnbblive
求索生活,http://111.22.153.159:35455/itv/2000000004000000008.m3u8?cdn=hnbblive
求索动物,http://111.22.153.159:35455/itv/2000000004000000009.m3u8?cdn=hnbblive
纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
爱上4K,http://wouu.net:9977/udp/239.93.0.97:5140
华数4K,http://111.22.153.159:35455/itv/2000000004000000014.m3u8?cdn=hnbblive
