分类: 中央, 名称: CCTV-1, 有效: 5, IPv4: 485, IPv6: 0, 最小延迟: 95 ms, 最高速率: 41.15 M/s, 平均速率: 3.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-2, 有效: 5, IPv4: 405, IPv6: 0, 最小延迟: 292 ms, 最高速率: 3.16 M/s, 平均速率: 1.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-3, 有效: 5, IPv4: 399, IPv6: 0, 最小延迟: 508 ms, 最高速率: 7.73 M/s, 平均速率: 4.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-4, 有效: 5, IPv4: 480, IPv6: 0, 最小延迟: 431 ms, 最高速率: 7.93 M/s, 平均速率: 4.35 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-5, 有效: 5, IPv4: 426, IPv6: 0, 最小延迟: 357 ms, 最高速率: 7.54 M/s, 平均速率: 4.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: ac3
分类: 中央, 名称: CCTV-6, 有效: 5, IPv4: 389, IPv6: 0, 最小延迟: 136 ms, 最高速率: 30.17 M/s, 平均速率: 3.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-7, 有效: 5, IPv4: 382, IPv6: 0, 最小延迟: 421 ms, 最高速率: 7.81 M/s, 平均速率: 4.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-8, 有效: 5, IPv4: 391, IPv6: 0, 最小延迟: 391 ms, 最高速率: 6.75 M/s, 平均速率: 4.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-9, 有效: 5, IPv4: 392, IPv6: 0, 最小延迟: 543 ms, 最高速率: 6.41 M/s, 平均速率: 4.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-10, 有效: 5, IPv4: 399, IPv6: 0, 最小延迟: 503 ms, 最高速率: 6.94 M/s, 平均速率: 4.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-11, 有效: 5, IPv4: 359, IPv6: 0, 最小延迟: 110 ms, 最高速率: 9.41 M/s, 平均速率: 2.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-12, 有效: 5, IPv4: 384, IPv6: 0, 最小延迟: 449 ms, 最高速率: 6.37 M/s, 平均速率: 3.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-13, 有效: 6, IPv4: 381, IPv6: 0, 最小延迟: 42 ms, 最高速率: 10.09 M/s, 平均速率: 3.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.81, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-14, 有效: 5, IPv4: 370, IPv6: 0, 最小延迟: 320 ms, 最高速率: 6.30 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-16, 有效: 5, IPv4: 205, IPv6: 0, 最小延迟: 481 ms, 最高速率: 22.48 M/s, 平均速率: 7.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-15, 有效: 5, IPv4: 357, IPv6: 0, 最小延迟: 536 ms, 最高速率: 8.11 M/s, 平均速率: 5.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-17, 有效: 5, IPv4: 308, IPv6: 0, 最小延迟: 475 ms, 最高速率: 7.82 M/s, 平均速率: 5.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-5+, 有效: 6, IPv4: 297, IPv6: 0, 最小延迟: 491 ms, 最高速率: 7.13 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-8K, 有效: 5, IPv4: 14, IPv6: 0, 最小延迟: 349 ms, 最高速率: 7.30 M/s, 平均速率: 3.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-4K, 有效: 5, IPv4: 88, IPv6: 0, 最小延迟: 500 ms, 最高速率: 17.31 M/s, 平均速率: 7.38 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CETV1, 有效: 2, IPv4: 124, IPv6: 0, 最小延迟: 609 ms, 最高速率: 8.45 M/s, 平均速率: 4.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CETV3, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 514 ms, 最高速率: 5.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CETV2, 有效: 0, IPv4: 69, IPv6: 0, 最小延迟: 518 ms, 最高速率: 5.22 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: 聚鲨环球精选, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中央, 名称: 环球奇观, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 224 ms, 最高速率: 7.83 M/s, 平均速率: 7.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CETV4, 有效: 0, IPv4: 98, IPv6: 0, 最小延迟: 524 ms, 最高速率: 4.97 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CETV早期教育, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 519 ms, 最高速率: 8.38 M/s, 平均速率: 5.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
